"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2323","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [3] createUserRequest=CreateUserRequest(username=abc$, password=Password33$, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Mon Jan 12 20:47:33 UTC 2026","passed","Mon Jan 12 20:47:35 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","957","userCanNotUpdateName(String, String) [3] newName=Mark_Samsonov, errorMassage=Name must contain two words with letters only","","Mon Jan 12 20:47:43 UTC 2026","passed","Mon Jan 12 20:47:44 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanNotUpdateName"
"","3039","userCanLoginWithCorrectDataTest()","","Mon Jan 12 20:47:58 UTC 2026","passed","Mon Jan 12 20:48:01 UTC 2026","","nBankTests.ui.iteration_1.LoginUserTest","nBankTests.ui.iteration_1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","6787","userCanCreateAccountTest()","","Mon Jan 12 20:47:32 UTC 2026","passed","Mon Jan 12 20:47:38 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateAccountTest","nBankTests.api.iteration1_senior_level.CreateAccountTest","userCanCreateAccountTest"
"","2787","userCanDepositAndBalanceChangesCorrectlyTest()","","Mon Jan 12 20:48:00 UTC 2026","passed","Mon Jan 12 20:48:03 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanDepositAndBalanceChangesCorrectlyTest"
"","2514","userCanNotTransferWithExpiredAuthToken()","","Mon Jan 12 20:47:55 UTC 2026","passed","Mon Jan 12 20:47:57 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithExpiredAuthToken"
"","11263","UserCanChangeNameTest()","","Mon Jan 12 20:48:03 UTC 2026","passed","Mon Jan 12 20:48:14 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanChangeNameTest"
"","438","userCanGenerateAuthTokenTest()","","Mon Jan 12 20:47:34 UTC 2026","passed","Mon Jan 12 20:47:35 UTC 2026","","nBankTests.api.iteration1_senior_level.LoginUserTest","nBankTests.api.iteration1_senior_level.LoginUserTest","userCanGenerateAuthTokenTest"
"","1310","userCannotDepositWithInvalidFields(Integer, Double) [3] id=null, balance=null","","Mon Jan 12 20:47:50 UTC 2026","passed","Mon Jan 12 20:47:52 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","2463","userCanTransferToOwnAccountTest(Double) [2] amount=0.02","","Mon Jan 12 20:47:49 UTC 2026","passed","Mon Jan 12 20:47:51 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","7717","userCanNotDepositWithEmptyAmount()","","Mon Jan 12 20:47:51 UTC 2026","passed","Mon Jan 12 20:47:58 UTC 2026","","nBankTests.ui.iteration_2.DepositTest","nBankTests.ui.iteration_2.DepositTest","userCanNotDepositWithEmptyAmount"
"","1856","userCannotDepositWithoutToken()","","Mon Jan 12 20:47:58 UTC 2026","passed","Mon Jan 12 20:48:00 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithoutToken"
"","1261","userCannotUpdateNameWithInvalidToken()","","Mon Jan 12 20:47:38 UTC 2026","passed","Mon Jan 12 20:47:40 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCannotUpdateNameWithInvalidToken"
"","1744","userCanNotDepositWithExpiredAuthToken()","","Mon Jan 12 20:47:56 UTC 2026","passed","Mon Jan 12 20:47:58 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithExpiredAuthToken"
"","3316","userCanTransferToOwnAccountTest(Double) [4] amount=9999.99","","Mon Jan 12 20:47:39 UTC 2026","passed","Mon Jan 12 20:47:43 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","1161","userCanUpdateName()","","Mon Jan 12 20:47:40 UTC 2026","passed","Mon Jan 12 20:47:41 UTC 2026","","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","nBankTests.api.iteration2_senior_level.ChangeUsersNameTest","userCanUpdateName"
"","11676","UserCanNotChangeNameWithInvalidNewNameTest()","","Mon Jan 12 20:48:02 UTC 2026","passed","Mon Jan 12 20:48:14 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanNotChangeNameWithInvalidNewNameTest"
"","1731","userCanNotDepositWithInvalidAmount(Double, String) [3] amount=5001.0, errorValue=Deposit amount cannot exceed 5000","","Mon Jan 12 20:47:55 UTC 2026","passed","Mon Jan 12 20:47:56 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCanNotDepositWithInvalidAmount"
"","4549","adminCanLoginWithCorrectDataTest()","","Mon Jan 12 20:47:54 UTC 2026","passed","Mon Jan 12 20:47:58 UTC 2026","","nBankTests.ui.iteration_1.LoginUserTest","nBankTests.ui.iteration_1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","1863","userCanNotTransferWithIncorrectAmountTest(Double, String) [2] amount=10000.1, errorMessage=Transfer amount cannot exceed 10000","","Mon Jan 12 20:47:49 UTC 2026","passed","Mon Jan 12 20:47:51 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWithIncorrectAmountTest"
"","7162","UserCanNotChangeNameWithEmptyNewNameTest()","","Mon Jan 12 20:48:07 UTC 2026","passed","Mon Jan 12 20:48:15 UTC 2026","","nBankTests.ui.iteration_2.ChangeUsersNameTest","nBankTests.ui.iteration_2.ChangeUsersNameTest","UserCanNotChangeNameWithEmptyNewNameTest"
"","2760","userCanTransferToOwnAccountTest(Double) [1] amount=0.01","","Mon Jan 12 20:47:46 UTC 2026","passed","Mon Jan 12 20:47:49 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferPositiveTest","nBankTests.api.iteration2_senior_level.TransferPositiveTest","userCanTransferToOwnAccountTest"
"","5734","userCanNotTransferOnNonExistentAccount()","","Mon Jan 12 20:48:15 UTC 2026","passed","Mon Jan 12 20:48:21 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanNotTransferOnNonExistentAccount"
"","2259","userCanNotTransferWhenTransferAmountExceedsAccountBalance()","","Mon Jan 12 20:47:45 UTC 2026","passed","Mon Jan 12 20:47:47 UTC 2026","","nBankTests.api.iteration2_senior_level.TransferNegativeTest","nBankTests.api.iteration2_senior_level.TransferNegativeTest","userCanNotTransferWhenTransferAmountExceedsAccountBalance"
"","1283","userCannotDepositWithInvalidFields(Integer, Double) [1] id=null, balance=4518.1","","Mon Jan 12 20:47:48 UTC 2026","passed","Mon Jan 12 20:47:49 UTC 2026","","nBankTests.api.iteration2_senior_level.DepositTest","nBankTests.api.iteration2_senior_level.DepositTest","userCannotDepositWithInvalidFields"
"","6531","userCanDepositWithEmptyRecipientNameTest()","","Mon Jan 12 20:48:27 UTC 2026","passed","Mon Jan 12 20:48:34 UTC 2026","","nBankTests.ui.iteration_2.TransferTest","nBankTests.ui.iteration_2.TransferTest","userCanDepositWithEmptyRecipientNameTest"
"","271","adminCanNotCreateUserWithInvalidData(CreateUserRequest, String, List) [2] createUserRequest=CreateUserRequest(username=ab, password=Password33$, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Mon Jan 12 20:47:35 UTC 2026","passed","Mon Jan 12 20:47:36 UTC 2026","","nBankTests.api.iteration1_senior_level.CreateUserTest","nBankTests.api.iteration1_senior_level.CreateUserTest","adminCanNotCreateUserWithInvalidData"
